# Coupling strength K	Order parameter |r|
3.500000e-02	8.594388e-02
3.500000e-02	8.609207e-02
3.500000e-02	8.623273e-02
3.500000e-02	8.624657e-02
3.500000e-02	8.637677e-02
3.500000e-02	8.653261e-02
3.500000e-02	8.670564e-02
3.500000e-02	8.689781e-02
3.500000e-02	8.694033e-02
3.500000e-02	8.710734e-02
3.500000e-02	8.732861e-02
3.500000e-02	8.746587e-02
3.500000e-02	8.755230e-02
3.500000e-02	8.776564e-02
3.500000e-02	8.783585e-02
3.500000e-02	8.795296e-02
3.500000e-02	8.806562e-02
3.500000e-02	8.809632e-02
3.500000e-02	8.817272e-02
3.500000e-02	8.817628e-02
4.000000e-02	1.014639e-02
4.000000e-02	1.062502e-02
4.000000e-02	1.077651e-02
4.000000e-02	1.136265e-02
4.000000e-02	1.191448e-02
4.000000e-02	1.243667e-02
4.000000e-02	1.244507e-02
4.000000e-02	1.297126e-02
4.000000e-02	1.351400e-02
4.000000e-02	1.409838e-02
4.000000e-02	1.430235e-02
4.000000e-02	1.475327e-02
4.000000e-02	1.551026e-02
4.000000e-02	1.620312e-02
4.000000e-02	1.640185e-02
4.000000e-02	1.745910e-02
4.000000e-02	1.811933e-02
4.000000e-02	1.870903e-02
4.000000e-02	2.003051e-02
4.000000e-02	2.017228e-02
4.000000e-02	2.186162e-02
4.000000e-02	2.191558e-02
4.000000e-02	2.375328e-02
4.000000e-02	2.378128e-02
4.000000e-02	2.552275e-02
4.000000e-02	2.592722e-02
4.000000e-02	2.720407e-02
4.000000e-02	2.774662e-03
4.000000e-02	2.828780e-02
4.000000e-02	2.849960e-02
4.000000e-02	2.859428e-02
4.000000e-02	2.877876e-02
4.000000e-02	2.879796e-03
4.000000e-02	2.884401e-02
4.000000e-02	2.905152e-02
4.000000e-02	2.966940e-02
4.000000e-02	2.977562e-02
4.000000e-02	3.023030e-02
4.000000e-02	3.066776e-02
4.000000e-02	3.084479e-02
4.000000e-02	3.097487e-02
4.000000e-02	3.154437e-02
4.000000e-02	3.163778e-02
4.000000e-02	3.261040e-02
4.000000e-02	3.270908e-02
4.000000e-02	3.271944e-02
4.000000e-02	3.333887e-03
4.000000e-02	3.352685e-02
4.000000e-02	3.357423e-02
4.000000e-02	3.371500e-02
4.000000e-02	3.434386e-02
4.000000e-02	3.455505e-02
4.000000e-02	3.483344e-02
4.000000e-02	3.499452e-03
4.000000e-02	3.503120e-02
4.000000e-02	3.522428e-02
4.000000e-02	3.556886e-02
4.000000e-02	3.571952e-02
4.000000e-02	3.594432e-02
4.000000e-02	3.603909e-02
4.000000e-02	3.615020e-02
4.000000e-02	3.618245e-02
4.000000e-02	3.644734e-02
4.000000e-02	3.723250e-02
4.000000e-02	3.943131e-02
4.000000e-02	3.982945e-02
4.000000e-02	4.249007e-02
4.000000e-02	4.254203e-02
